,lyrics,genre
0,you don't have to be alone to feel alone you can have someone and still feel alone  everything that ever was will never be again we're only lonely people now wondering where we've been rarely does it take you more than once or twice to learn that love is so much deeper when you let the fever burn and there's a strong possibility that we might often fail to see the better side of life  frozen dreams of lighter things is all we have to share loneliness will capture you in moments of despair noble things and silver rings all locked up in a drawer the key remains inside yourself and will forever more and there's a strong possibility that we might often fail to see the better side of life  you don't have to be alone to feel alone you can have someone and still feel alone  everything that ever was will never be again we're only lonely people now wondering where we've been rarely does it take you more than once or twice to learn that love is so much deeper when you let the fever burn and there's a strong possibility that we might often fail to see the better side of life  you don't have to be alone to feel alone you can have someone and still feel alone,Classical
1,prepare ye the way of the lord prepare ye the way of the lord prepare ye the way of the lord prepare ye the way of the lord prepare ye the way of the lord prepare ye the way of the lord prepare ye the way of the lord everybody now! prepare ye the way of the lord prepare ye the way of the lord prepare ye the way of the lord prepare ye the way of the lord,Classical
2,"my funny valentine sweet comic valentine you make me smile with my heart your looks are laughable unphotographable yet, you're my favorite work of art is your figure less than greek? is your mouth a little weak? when you open it to speak, are you smart? but don't change a hair for me  not if you care for me stay little valentine, stay each day is valentine's day is your figure less than greek? is your mouth a little weak? when you open it to speak, are you smart? but please don't change a hair for me not if you care for me stay little valentine, stay each day is valentine's day",Classical
3,"what was sent to the soldier's wife  from the ancient city of prague?  from prague came a pair of high heeled shoes  with a kiss or two, came the high heeled shoes  from the ancient city of prague  what was sent to the soldier's wife  from oslo, over the sound?  from oslo, there came a collar of fur  how it pleases her, little collar of fur  from oslo, over the sound  what was sent to the soldier's wife  from the wealth of amsterdam?  from amsterdam, he got her a hat  she looked sweet in that  in the little dutch hat  from the wealth of amsterdam  what was sent to the soldier's wife  from brussels, in belgian land?  from brussels, he sent her laces so rare  to have and to wear  oh those laces so rare  from brussels in belgian land  what was sent to the soldier's wife  from paris, city of light?  in paris, he got her a silken gown  'twas envied in town, oh that silken gown  from paris, city of light  what was sent to the soldier's wife  from the south, from bucharest?  from bucharest, he sent her a shirt  embroidered and pert, that romanian shirt  from the south, from bucharest  what was sent to the soldier's wife  from the far-off russian land?  from russia, there came just a widow's veil  from her death to be wed in her widow's veil  from the far-off russian land",Classical
4,"¿oye, qué pasó? blackout, blackout! (oh no) vino el apagón ¡ay dios! (oh no) ¿oye, qué pasó? (oh no) vino el apagón ¡ay dios! (hold up, wait! hold up, wait!) (oh no) yo! i! can't see! (nina, where'd you go?) quit shovin' you son-of-a (i can't find you) it's an oven and we gotta back out (nina, take it slow) this is a blackout! chill, for real or we're gonna get killed! (i'm behing you) calling all taxis! (what's going on? what's going on?) everyone relax please (suddenly i find the electricity is gone) calling all taxis! (what's going on? what's going on?) everyone relax please (i gotta guard the store make sure that nothing's going wrong!) somebody better open these goddamn doors! (what's going on? what's going on?) somebody better open these goddamn doors! (i gotta find usnavi tell him what is going on) somebody better open these goddamn doors! (nothing is on! nothing is on!) and i can't find usnavi! (oh, no!) vanessa (nina, where'd you go?) vanessa (nina, where'd you go?) (has anyone seen benny?) vanessa (nina, where'd you go?) (benny) i gotta go (i can't find you) (usnavi, help me!) vanessa (nina, where'd you go?) vanessa (nina, where'd you go?) (has anyone seen benny?) vanessa (nina, where'd you go?) (benny) i gotta go (i can't find you) (usnavi, help me!) please find nina find camila (find my way home!) if you see my family bring them home (usnavi, help me!) we are powerless we are powerless (you left me alone!) we are powerless we are powerless yo! yo! they throwin' bottles in the street! people lootin' and shootin' sonny, they wanna see a robbery we gotta keep movin'! naw, man, i can't leave we gotta guard the store! they gonna bombard the store until you ain't got a store no more! i got a baseball bat on a rack in the back i got a couple of roman candles we can distract the vandals! hey yo i see some thugs comin' man, we gonna get jacked up! gimme a light, i'll be right back back up, back up, back up! look at the fireworks the fireworks fly light up the night sky look at the fireworks the fireworks fly light up the night sky it's late and this grate won't come down, come down! it's late and this grate won't come down! (oh god, so much panic! the crowd was manic) we are powerless (with everybody screaming and shoving and shouting and slapping we are powerless (and everyone's frantic! what's happening with you?) we are powerless we are powerless powerless! look at the fireworks abuela are you alright? light up the night sky the stars are out tonight! look at the fireworks you're not alone tonight light up the night sky you're not alone tonight usnavi, please promise me you'll guard this with your life abuela, i've never seen this much money in my life! nina there you are i've gotta go! i'll get you out of here tonight i don't need anything tonight i can find my way home (find your way home) without you, without you look at the fireworks, the fireworks look at the fireworks, look at the fire works light up the night sky en washington look at the fireworks look at the fireworks light up the night sky (light up the night sky) en washington heights!",Classical
5,"deb: one p.m.  meeting with the staff  lecture them on the board's behalf  and condemn giving workers carte blanche  walter: my job has many fascets  deb: one fifteen  cut our pension size  reconvene with the union guys  in between close our deleware branch  walter: and liquidize our assests  deb: choose a date  for the meeting with global freight  walter: try the twenty-fifth  emily: walter, wait!  all: no one works on that day  walter: see?!  christmas always gets in the way  deb: half past two,  legal wants a chat  when you're through,  lecture over at n.y.u.  on outbiding taiwan  walter: well, it's my alma matter  deb: in the car, meet new sale demands  au revoir to your dinner plans  tell h.r. they'll be working  till dawn  walter: or else they're in hot water  employees: employees  under mr. hobbs  learn to please  just to keep their jobs  we know he's more content when we say  walter: all together now!  all: christmas always gets in the way  emily: (spoken) walter, christmas is five days away, we don't even have a tree.  walter: what's the big brouhaha,  over ""fa la, la, la""?  it's a childish ordeal  i mean flying reindeer?  let's get real  old santa's sleigh  just brings more bills to pay  so i gotta work or feel the squeeze  money doesn't grow on christmas trees  emily: (spoken) alright, let me see that calendar. if not today, how about tomorrow?  let's see...  (sung) half past one, buy a tree to trim  he's your son  walter: i remember him  emily: don't make fun, there's too much to discuss  walter: my budget needs rewriting  emily: two o'clock, skating in the park  then a walk until after dark  here's a shock, spend an evening with us!  michael: yay, mom and dad are fighting  walter: have no doubt, it's that time of year  think about how i'm buried here  help me out  employees: it's all work and no play  walter and employees: 'cause christmas  christmas, christmas, christmas  walter: what does it always get?  all: in the way!  walter: all right, everyone back to work!",Classical
6,"the sun is rising but there's no surprise  i see the learning in the girl's eyes  the watchful maker sends his supernal guide  to watch for those who want to adore his might  and you know, she's the one who needs no reason  for her life, her life has taken it away  she spends her time gathering information  so one day she will have the knowledge to be free  one day a silver lining comes upon your sky  you could live forever, if you want to try  you now i'm feeling something  i never thought i'd ever be with you and to be free  all i ask in dreams for is very hard to find  lightning strikes my windows and darkness fills my mind  you now i'm feeling something  i never thought i'd ever be with you and to be free  the sun has risen but there's no surprise  i still see learning in the girl's eyes  the watchful maker still sends supernal guides  to watch for those who want to scorn it's might  and you know, were the one who needs no reason  for our lives, our lives has taken it away  we spend our time gathering information  so one day we will have the knowledge to be free  to be free  to be free  to be free",Classical
7,sonata - i hear you  you're calling out my name  sonata - you're singing  echoes of your sweet refrain  long ago - i heard the music  and longed to hold it deep inside of me  (and how) i love you  i need you - sonata - your light inside of me  i want you - sonata - through all eternity  long ago - i heard the music  and longed to hold it deep inside - of me  that's where your song belongs  inside of me  (and how) i love you  long before the world began  your voice rang out  inside the heavens  and (high) above the universe  the angels knew your name  (and how) they loved you so  sonata - sonata  long ago - i heard the music  and longed to hold it deep inside - of me  that's where your song belongs  inside of me  (and how) i love you  how i love you - so,Classical
8,"the reverence is broken by a subway evangelist  who insists that the mayor knew the accident would happen  and offers us copies of handwritten literature  defending her argument  and gives us coupons for discounted storage  on staten island  ascending the steps, the grime on the subway  i acquire the next cup of coffee  on route to the flower shop  off of newman and stray  saddled behind the register  in a cross-ward stance  i think to myself  ""what's the latin word for dying of boredom?""  for i fell onto the ice when  a woman walks in, i'm thinking she's russian  redolent of beet soup and of cabbage  she points to a puffy, red vinyl, heart-shaped balloon  her eyes are red-rimmed  we speak in gestures  the balloon reads,  ""our prayers are with you""  i wonder if she knows someone  a victim of the accident  i can't think of these things right now  i know i had to be doing something more  rather than merely transacting a sanitize flour  arranging these roses, lilies, lilacs, and daffodils  sawgrass and mugwort  so many flowers  ♪  only later, would i walk to weary my body  part of it's nighttime contortions  borne of strained sleep  on a stranger's sofa  ♪  dressed, shaved, flip-flopped  i walked down the main drag  pursuing coffee and donuts  for what's a day without a donut?  light skitters on the sidewalk  my leg feels like an instrument of sunshine  the line for the coffee has wound around the block  we try to be carefree, though the world is turning black  'cause what's a day without a donut?  what's a day without a  ♪  at last, i am no longer  counting the times she will inhabit a day  i no longer scan the paper for her name  there's a great green drive that i want to play  under canopied corridors and overcast skies  speaking of our fathers so self-consciously polite  grateful to have found each other  and not to have lost each other  i am focused on my coffee",Classical
9,"i wanna make your smoke and kisses  black and white  measure all your spinning whispers  in the loose moonlight  magic from your fingers tingles down my spine  colour inbetween the lines  let it out, let it out, let it all out  let it out, let it out, let it all out  you rearrange my mind  you rearrange my mind  an uneasy feeling churns inside of me  i'll draw it on a wall for you all to see  tryiner find a diamond in an avalanche  but you just haven't had the chance  oh, let it out, let it out, let it all out  let it out, let it out, let it all out  you rearrange my mind  you rearrange my mind  let it out, let it out, let it all out  let it out, let it out, let it all out  you rearrange my mind  you rearrange my mind",Classical
