,lyrics,genre
0,"i told her jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) i told her jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk)  jumpity jump dat booty (twerk) get it gurrlll  (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line (jumpity jump) trampbooty (twerk)  (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk)  hands up! (hands up!) trampoline that booty (let's go) get it low with it (get it gurl) trampoline dat booty now watch she work she a pro i swear to god she know when she maneuver that big ass make a nigga wants some mo'  i told her jumpity jump dat booty jumpity jump dat booty now look at the way she movin' got them niggas over there choosin' she said lame bitches keep hatin' they mad cause they ass loosin' don't you focus them lames baby keep doing what you doing  i told her jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) i told her jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk)  jumpity jump dat booty (twerk) get it, get it gurrlll  (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk)  (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk)  i said bounce, (bounce) bounce (bounce) bounc-ity, bounce, bounce she so bad nd i want her so im takin' her to my house (yes) now get it girl now work got me throwing money she deserve it now open up those legs cause kstylis bout to come murk it  wor-workity, work, twerk (twerk) wor-workity, work, twerk now sho me what is worth got a nigga cravin' dessert now put it on me don't hurt me gurl or this ding-dong gon' hurt you gurl now show the world how you twerk gurl trampoline that booty gurl  i told her jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) i told her jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) get it, get it gurrlll  (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk)  (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk)  i told her jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) i told her jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk)  jumpity jump dat booty (twerk) get it gurrlll  i told her jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) i told her jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk)  i told her jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) i told her jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk)  jumpity jump dat booty (twerk) get it gurrlll  i told her jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) i told her jumpity jump dat booty (twerk) jumpity jump dat booty (twerk) jumpity jump dat booty (twerk)  (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk) (jumpity jump) tramp-o-line booty (twerk)",Hip-Hop
1,"whatchu want? whatchu want? get off me i pull quick, it's useless, i'm fully clipped, 6 fo' fully dipped throw chrome whip with three freaks and full hips with firm tits yeah, we fully chipped, been on gangsta shit it's ruthless, drunk off two fifths who make hits? who we wit? westcoast parties don't stop who drop head-boppers? the head doctor, bed-rocker police pursue me in squad cars and helicopters checkin' lockers, mexican connect to play soccer ph's and cockblockers ho-hoppers, weez niggaz is off the rocker sippin cranberry juice on rocks with vodka with 'pac and poppa, and redd fox's doctor takin' names and takin' orders ya fake ya name and i'm all up on ya nigga that's california, palm trees and 6-3's on deez rims dip to make the spokes gold-a slangin' boulders, thought i told ya true soldiers comin' from the motherfuckin' shoulders take it easy 'cuz it's the motherfuckin' knoc hotter than yo' block fulla motherfuckin' cops bow down when ya see me knoc the truth best believe it take it easy 'cuz it's the motherfuckin' knoc hotter than a freak who givin' head who won't stop bow down when ya pass thru knoc turn'al god damn you what's the difference between us? nah, not that again new songs and new cars and new broads and new thongs on crenshaw boulevard, line 'em up at the bar girl you know who we are, hip-hop superstars roll deep, nah, we roll hard and deep bogart yo beef get the fuck off my street getcha motherfuckin' ass beat l.a., compton, long beach, whooptie whoop nigga what? i don't give a fuck hustlers, hood-rats, sick-ass thugs, crips and bloods hell nigga, all my real niggaz raise it up nuttin' but dubs, you got a sack, nigga what? blaze it up take it easy 'cuz it's the motherfuckin' knoc hotter than yo' block fulla motherfuckin' cops bow down when ya see me knoc the truth best believe it take it easy 'cuz it's the motherfuckin' knoc hotter than a freak who givin' head who won't stop bow down when ya pass thru knoc turn'al god damn you bitch, you ain't 'bout shit, my bad turn off the lights, don't trip give a nig' some ack right and act like you might lick balls tonight girls all pause, hell nah, girls drop draws on site do drugs, shroom cups, smoke bud, all night that's right, i like bisexual women, fuck dykes suck dick, no, but your father might fuckin' hermaphrodite duck the irs, fuckin' howard stern's wife in traffic, bitch gave me head in real life l.a. city lights, c.a. get it right westcoast on the grind, these niggaz done lost they minds straight loungin' in the sunshine here's one thing you bitch niggaz must know fuck you, please believe that and i mean that take it easy 'cuz it's the motherfuckin' knoc hotter than yo' block fulla motherfuckin' cops bow down when ya see me knoc the truth best believe it take it easy 'cuz it's the motherfuckin' knoc hotter than a freak who givin' head who won't stop bow down when ya pass thru knoc turn'al god damn you",Hip-Hop
2,"using my leverage for life pushing through the strife as we crawl to the light if we make it through, we gon' walk it upright watch it how we move and we gon' make it alright (alright, alright)  using my leverage for life pushing through the strife as we crawl through the night if we make it through, we gon' walk it upright watch it how we move and we gon' make it alright (alright, alright)  how you feel about the mirror when you stare in the abyss? ask yourself a question quickly: why in the hell do i exist? is it for a handbag or two hundred dollar kicks? or helping your fellow man that is down and now sick? this is it. the question that defines the essence: material gains or an inner soul blessing? ""lady, or the tiger?"" people will keep you guessing hopefully, we investing in the right progression  aggression keeps us under, pride asunder greed is the blunder, hell hotter than the summer selling yourself for what you call is the come up quick money spends funny and it never sums up before you know, you broken, weighted down and frozen stucking in depression on the path that you chosen needing some progression but you holding onto totems you need to pull away, free yourself and now you're open  looking through a different view and seeing that you'll make it through when you want to save yourself, you'll see the ones that's helping you push away the others that will pull you down asunder crabs in a bucket always want to have a brother just move it undercover, let them get another sucker by the time they even notice you're out, you're seeing wonders a lover and a fighter that's filled with true desire trial by the fire, a trailblazer that's higher  using my leverage for life pushing through the strife as we crawl to the light if we make it through, we gon' walk it upright watch it how we move and we gon' make it alright (alright, alright)  using my leverage for life pushing through the strife as we crawl through the night if we make it through, we gon' walk it upright watch it how we move and we gon' make it alright (alright, alright)  using my leverage for life pushing through the strife as we crawl to the light if we make it through, we gon' walk it upright watch it how we move and we gon' make it alright (alright, alright)  using my leverage for life pushing through the strife as we crawl through the night if we make it through, we gon' walk it upright watch it how we move and we gon' make it alright (alright, alright)  steadfast in my notions while i'm rising out the ocean love is the devotion, number 9 is the potion keys in my pocket. in my face, the doors closing only if they knew i already have the means to open wasting they time to hold me back, remain in motion wonder if they even notice they efforts just keep me focused this is redeemer spitting promise through the speaker just a brand-new creature starring in this life feature  seeing bigger pictures when i'm looking in the mirror used to sit the sidelines—now i stand and deliver my brother, this is scripture water pouring out the pitcher hoping you can get the deeper meaning in the mixture we living for today, making ways for tomorrow understanding sorrow but the motto is apollo this tune isn't auto-money worshipping bravado but understanding yourself, then your vessel never hollow  the mind foundation, soul is the creation body is the temple to house the situation we just a league of nations. different faces, same basis it's gonna take some patience but the goal is still elation rise to the occasion. my people, we gonna make it everyday dedication to find the new equation deleting the delusion while we searching for solutions concluding of confusion while we ready resolutions  using my leverage for life pushing through the strife as we crawl to the light if we make it through, we gon' walk it upright watch it how we move and we gon' make it alright (alright, alright)  using my leverage for life pushing through the strife as we crawl through the night if we make it through, we gon' walk it upright watch it how we move and we gon' make it alright (alright, alright)  using my leverage for life pushing through the strife as we crawl through the light if we make it through, we gon' walk it upright watch it how we move and we gon' make it alright (alright, alright)  using my leverage for life pushing through the strife as we crawl through the night if we make it through, we gon' walk it upright watch it how we move and we gon' make it alright (alright, alright)",Hip-Hop
3,"if heaven really had a cell phone i'd pick it up and hit up god and ask him what's happening i apologize for all of this madness speaking on behalf of all of my family world so crazy, everybody angry thinking you deserted, everybody say you ain't here i been tryna tell them you be always on the level world ran by the devil, i be yelling but they can't hear everything mixed up, need to be fixed up and all the politicians say they got the answers but every time they vote em' in it didn't matter 'cause then it show em' once again it don't matter i just wanna let you know before they tryna hold on i already know you know it even though we may not show it but can you tell me what am i to do when everybody is  pursuing all this wickedness you said we shouldn't do it, do it  i wish heaven had a cellphone wanna hear your voice, wanna hear your voice i wish heaven had a cellphone and what i wouldn't give to hear your voice again i wish heaven had a cellphone wanna hear your voice, wanna hear your voice  i wish heaven had a cellphone and what i wouldn't give to hear your voice again  when i walk through crossroads gonna miss everybody, i got my eye on the sparrows if heaven had a cellphone i would call up the eazy like, ""how you get in with an l pro? hell no"" tell em hey, don't get in the car my guardian angel, you know we gonna be there in all there's too many levels to leave a nigga dead in the door but let em open up another one, that's white and that's pure if heaven had a cellphone take kray, take wish, take flesh, make sure my l go been a hell of a road they gonna 'member the bone until the end of the world every verse, know that i get known heaven had a cell phone how many of us will get the dial tone  will they think it was without forgiving all wrong will they give us a chance when giving our songs if heaven had a cell phone  i wish heaven had a cellphone wanna hear your voice, wanna hear your voice i wish heaven had a cellphone and what i wouldn't give to hear your voice again i wish heaven had a cellphone wanna hear your voice, wanna hear your voice i wish heaven had a cellphone and what i wouldn't give to hear your voice again  imma call you up to hear you one more time imma call you up 'cause you stay on my mind imma call you up 'cause to see if you alright if heaven had a cellphone",Hip-Hop
4,"song: no return producer: stoupe time: 4: 53  (intro: canibus) no return, no return, no return, no return, there's no return, no return...  (canibus) yo, scientists gather in a secret place to debate, they photographed the earth from space and saw my face, they tried to translate the innate asiatic shape, before the final earthquakes came but it was too late, only one-eighth of the human race escaped to space, they were chased by flying phenomena to the lunar base, flotillas of space centers, lasers probed the entrance, dna code sensors reject old genetics, i presented my cosmic clearance to a patrol of medics, i was injected with sodium pentothal and questioned, i relayed the message the way i was trained to remember it, i showed them the keypad code and told them to enter it, i told them which alphanumeric buttons were sensitive, he snatched it out of my hand and started depressing it, i told him detonation was definite if he kept at it, and he'd never quit, he just lost his temper and flipped, i bowed my head like, 'i guess this is it,' my ears popped, the music stopped, and i couldn't hear shit  (canibus) the driver jogged around to the front and opened the door, he said his name was muhammed jamal and he'd be with me 'til fall, he said the escort service had called, and the package would be waiting for me at the winthorp, i said thanks, he grabbed my bags fast and put them in the trunk, then he ran around to the front, slammed it in gear, pulled off slow, winded down his window and asked me if i minded if he smoked, i said, ""no"", we drove off, cut my cell-phone off, then i swallowed a tablet of zoloft, went to sleep and woke up feeling kind of lost, i asked him what the weather's been like lately, he said he doesn't mind the heater and hates the a/c, he said he had a son who was eighteen and made beats, and i happened to be his favourite emcee, i said, ""for real? that's crazy! i'll meet him later. yo jamal, could you please do me a favor? when we get to the corner, stop at the bodega,"" hopped out the car, walked inside, the store stereo was playing feliz navidad, got a pack of condoms and walked to the back of the line, there was three taliban that were talking very loud, one reached in his backside and pulled out a berretta gun, the last word i heard myself say was a four-letter one, he looked me in the eyes and said, ""the drama's never done."" 'cause there's no return, no return  (canibus) i heard the ring tone of the red phone, headquarters informed us there was an explosion in the red zone, we were ordered to get ready to go, and to get into our bio-weapons protective gear and clothes, i rode shotgun, my partner ramirez drove, g.p.s. control gave us coordinates where to go, as soon as we got there i could feel the hot air, for a second i stopped and stared, there was cops everywhere, i told them, ""we need to get a square perimeter clear, we've got an hour 'til nightfall, so light some flares,"" i said a twenty-second prayer then ran to the second tier, the lifter was there, then i waved my hands up in the air, to signal that it was clear before i ran upstairs, i could barely see smoke was so thick in the air, i was visually impaired and started to get scared, i heard a woman scream, ""help!"" but i didn't know where, i started screaming back, ""i'm not going to leave you here!"" saying to myself, damn it's hard to breathe in here, searched the rooms one by one, like fuck my lungs, ramirez said, ""the fire truck got stuck by the front,"" i crawled all the way through the foyer to the end of the hallway, and seen her on the floor next to the doorway, i was half-unconscious, but i just ignored the pain, helped her to her feet and she had her arm in a brace, all this tar-like black stuff was all on her face, i radioed ramirez coughing and tried to explain, i heard him say something to me like, ""it's all in flames!"" there was ceiling debris falling all over the place, i looked her in the eye, she looked into mine, it was strange, then i blinked for the last time and never saw again.",Hip-Hop
5,"d motherfuckin' savage, nigga where the fuck, i'm-i'm your biggest motherfuckin' fan nigga, on my motherfuckin' mama i ain't talkin' out my ass, nigga, shit  life goes on and the sun gon' shine (uh-huh) feels like i'm failin', failin', failin' please, i need help, help, help talkin' to myself, self, self life goes on and the sun gon' shine feels like i'm failin', failin', failin' (woo) please, i need help, help, help (woo) talkin' to myself, self, self (woo) (oh) (oh my god)  ayy, look at my chain, bitch, look at the watch she wanna leave with me i'm feelin' like roddy, i beat up her box sipping on wock', can't see i'm fresh out of jail, but i need a glock reppin' that three-three-three i'm killin' 'em dead, don't know what they thought bitch, i'm a goddamn beast he froze with his poles, i'm thumbin' through rolls make bread in my goddamn sleep we hit up the the road, i'm fuckin' these hoes she hate every time i leave i bought her chanel, she hold on my glock make sure the cops don't speak and if i go down, just please hold me down don't you change on me  ayy, i been workin' so hard, gotta shine put in work, i'ma put in the grind dawg, you know i got cash on my mind i go deep, fell in love in her spine ayy, i pull up to your hood and jump out a bush and show you this forty of mine ayy, i got dope in my veins, i'm sippin' on mud i'm tryna kill some', i'm high put that dumb-ass nigga in the sky i get it poppin' like fourth of july she wanna suck on my dick while i drive said she love me, bitch, why did you lie? count hunnids and fifties, i promise it's litty lil' nigga, i'm runnin' the city (ayy) i'm ridin' big b, that's the bentley (go) i'm shootin', you know that it's with me  ayy, look at my chain, bitch, look at the watch she wanna leave with me i'm feelin' like roddy, i beat up her box sipping on wock', can't see i'm fresh out of jail, but i need a glock reppin' that three-three-three i'm killin' 'em dead, don't know what they thought bitch, i'm a goddamn beast he froze with his poles, i'm thumbin' through rolls make bread in my goddamn sleep we hit up the the road, i'm fuckin' these hoes she hate every time i leave i bought her chanel, she hold on my glock make sure the cops don't speak and if i go down, just please hold me down don't you change on me  ayy, i be blowing on gas like a chimney i got bitch niggas talking 'bout killing me i be riding with sticks, are you kidding me? i'm just hoping they matching my energy ayy, i'm smoking exotic, my bitch is erotic i'm flexing, got bands in my pocket why you lying? you just need to stop it i snuck in this bitch with my rocket i got what you need, a plug to the socket she all on her knees, she giving me noggin ain't getting no cheese, ain't making no profit i speak to them all like a prophet i jump in these streets and don't do no talking i'm throwing up bs on the block with my partners we just politicking and counting up dollars i can't hit if that pussy got mileage  ayy, look at my chain, bitch, look at the watch she wanna leave with me i'm feelin' like roddy, i beat up her box sipping on wock', can't see i'm fresh out of jail, but i need a glock reppin' that three-three-three i'm killin' 'em dead, don't know what they thought bitch, i'm a goddamn beast he froze with his poles, i'm thumbin' through rolls make bread in my goddamn sleep we hit up the the road, i'm fuckin' these hoes she hate every time i leave i bought her chanel, she hold on my glock make sure the cops don't speak and if i go down, just please hold me down don't you change on me  life goes on and the sun gon' shine (uh-huh) feels like i'm failin', failin', failin' please, i need help, help, help talkin' to myself, self, self life goes on and the sun gon' shine feels like i'm failin', failin', failin' (woo) please, i need help, help, help (woo) talkin' to myself, self, self (woo)",Hip-Hop
6,"i hear so many christians, murmuring about their imperfections, and their failures, and their addiction, and their shortcomings. and i see so little war! murmur, murmur, murmur. why am i this way? make war!  bang with me ba-bang bang, ba-bang with me no more playing games mane cause this thang can get risky so mane if you in christ take up!/your cross quickly stand fearless on the frontline time to come with it do the right thing wake up! and lets get it i ain't even in the ring they throwing bows like riddick persistently attacking me they're even in the back of me it's either fight or loose my life and i can't take this passively so what you think i'm bout to do i'm bout to do what i can do trust the one who got me through and fight like it was after school never giving up steady, standing on the battle field feet firm to the ground like i stepped on chappel hill flesh feeling frisky, sin persuades and tempts me satan cheers me on guilt followed by conviction it's the same ol' trap and we fall like we defenseless work your senses, grow in wisdom stand firm and be relentless  i make war! cause sin never sleeps it's got me in a trance you can see it in my dreams i make war! man i beat my flesh to the death/every breath/like i beat my chest/ i make war! sun up i make war! sun down i make war! time in i make war! time out i make war! against lust against pride, against me, until i die  do you even have a clue what happened to you when he died when that tomb got rolled when he rose in the sky i think we emphasis sin so much that it makes us paralyzed and glorify struggle so much that it makes us terrified and deemphasize the fact that we have been sterilized from our own lives and thus we gotta snap out of it we ain't in no straight-jacket we free when jesus died in our lives something strange happened he gave us power yeah i know that we sinners but since he rose he's renewing the image of god in us now, we gotta start making war now we can start saying no to them fleshy impulses that jesus christ is paying for now we can start taking the lead just like the dalai lama and start going all out like a suicide bomber whatever the sin is we gotta go go go harder by his grace no time to waste and just just just like there's no tomorrow  i make war! cause sin never sleeps it's got me in a trance you can see it in my dreams i make war! man i beat my flesh to the death, every breath, like i beat my chest i make war! sun up i make war! sun down i make war! time in i make war! time out i make war! against lust against pride, against me, until i die  i'm a christ representer, fin to stand and deliver cause a lot of my believers struggle with their agenda so i dropped this on an adat just so you could come play back/ a hit to be encouraged that rocks you with truth from, way back so listen up to it asap like you do a lecrae track i'm spittin' written visions to put on heads like a wave cap sinning, nawl we don't play that cause that's the way that a slave acts i'm filled with the spirit so tell them dog this is pay back as you begin to copy the carbon copies of christ and conform to his written image you should be shinning a light if you not, why is that? is it fear that's been grippin' you cause you scared they'll be dissin' you flipping birds while that spit at you if you not, why is that? it don't matter so bump it perfect love cast out fear and he ain't save us for nothing his is a privilege (privilege) your life to give to him (give to him) so stand firm for him dawg and lets get it in  i make war! cause sin never sleeps it's got me in a trance you can see it in my dreams i make war! man i beat my flesh to the death/every breath/like i beat my chest/ i make war! sun up i make war! sun down i make war! time in i make war! time out i make war! against lust against pride, against me, until i die  i make war...",Hip-Hop
7,"whodi, wanna make happen nigga holla at me whodi, wanna make happen nigga holla at me whodi, wanna make happen nigga holla at me whodi, wanna make happen nigga holla at me whodi, wanna make happen nigga holla at me whodi, wanna make happen nigga holla at me whodi, wanna make happen nigga holla at me whodi, wanna make happen nigga  (na na na) now lets get it started, i fuck shit up on tha bacardi you can call it, i be damned if i dat one dearly departed glock forty wit 2 other clips stuck beside me i call tha canon, new & improved dog bitch for tha 90's i keeps it real, niggas don't wanna let me ball & chill fuck wit tha treal still they'll get a nigga killed so i keep 'em close, don't know 'em, i met 'em on my joce cut throat 'em on magnolia leave body parts on willow dats how we do it, 6 court souljas off top keep 'em cocked wit out havin' second thoughts to pop uptown dats where i was born & raised chastised by veterens in they army brigades when i grew up i wanted to just like them look at me now retired veteren, soulja slim alot of souljas made it & alot of 'em didn't it ain't easy bein' a soulja takes alot of wig splittin' unforgettin' ghetto livin' to tha day dat i die fabolous, dangerous weighin' 195 i got scuffle like holyfield but i gets ill like mike for them nigga snakes i bite when i write (grrr)i bite back, picture dat, nigga raw doggin' it got tha industry on lockdown & i'm hoggin' it i got what cha lookin' for & what cha want huh don't play no games you know your do's & don'ts, what  nigga just shot my dawg double crosser beef is on, heat is on, tweekin' for leakin' domes make it known when i come home clear tha whole corner somebody gon' die when my & my army ride you niggas jive, who gonna thank me & my dawg won't kill ya had ya down dad should of let my dawg steel ya bustarized, realized, we crucifized, homicide lookin' for me wit tha chinese eyes gold grill from tha back to tha front, mask on done a walkby & got my blast on see me when i beef i can't sleep i creep creep, lay low like a sniper & che, che day & night hopin' i catch my prey right i hate tha light but i can't run from a gun fight soulja type & i refuse to lose my life been inticed by tha devil but i love jesus christ so what dat tell ya, i'm gon' kill ya if i haveta thank it's a game when it ain't no fun & laughter blast ya ass then get ghost like casper i'm bout it bout it, i just ain't no good ass rapper  (what) in tha projects thugged out slangin' for cheese head bustin' any nigga holdin' them ki's puffin' weed daily, thuggin' in public tha bitches give me head cause tha hoes they love me say goodbye to them bitch niggas they work for tha feds i can't be caught wit cha when they bust yo head ski masked wit a hundred rounds lookin' for fire downtown niggas clearin' watch them niggas expire we ride fo' deep in a caddy wit swab i don't love head bustin' im just doin' my job iberville is what i scream lookin' for danger hundred rounds in my chopper realesin' my anger, now",Hip-Hop
8,"now we have come into the party to occupy a space provided by the public eye cuz you've waited and waited and finally we've returned with a funky beat that'll go up yo spine grab yo brain relax yo body easy any pain but we're here in gold, and red and black you guessed it the fat boys are back the fat boys are back and you know they can never be whack the fat boys are back fat boys are back and you know they can never be whack the fat boys are back (do you lie to the fat boys?) i'm starving i'm in the mood plain and simple i need food eat some beans and very soon everybody in the place will leave the room for some reason i can't reveal pass a bananna so i can peel slide to the kitchen stuff my face leaving not one crumb in the place i can bust riff rafs back to back and i'll devour any mc as if he were a snack i'll eat and eat and drink and drink and i'll tell ya one thing my breath don't stink because the beats so funky like a big fat monkey and it tastes so good like an almond joy cuz i'm big and bad, mean and bold and my name is markie d and i'm a fat boy fat boys are back and you know they can never be whack the fat boys are back fat boys are back and you know they can never be whack the fat boys are back (do you lie to the fat boys?) cool rock is my name food is my game got style, got class, i'm still the same i set my goal to having fun, and when it comes to eatin', i'm #1 for lunch my menu is kind of large 5 hamburgers 3 shish kababs 2 large cokes 1 slice of cake and i'll eat it all down in just one take an ice cream sundae with all the the trimmings yellin' fo more cus thats just the beginning so let the food scatter my teeth will chatter i'll eat anything on a soul food platter and if i get fatter it will just get better (but don't follow me if i climb on a ladder) so let it be known that i'm kickin it loud i'm an eating machine of '85 fat boys are back and you know they can never be whack the fat boys are back fat boys are back and you know they can never be whack the fat boys are back so, dj doc, the ox that rocks but known to you as the human beat box says you're ready and willing to rock the place move yo body and big fat face that tops the charts and you will not stop cuz you're the one and only dj doc says you can rock and yo in tha place please home boy drop all the bass! fat fat do you lie to the fat boys fat boys are back and you know they can never be whack",Hip-Hop
9,"yeah  i bought my bitch a bag i bought a lotta ass i bought my bitch a bag i bought a lotta ass my c no longer slashed r.i.p. to nipsey, yeah i tripled up the stash i had to tint the jag' she said she don't suck dick i called that bitch a cab new york can't go for no bad apple i promise you'll get stabbed i told her i go nast' i give 'em lifetime splash i told her i got crops that big, big birkin bag (that birk')  i whipped up in beverly hills, but it wasn't sushi (that big, big birkin bag, that birk') i couldn't afford her she was way better at hooters, ooh (took out a order, whoa) i gave a forty clip brand new ak to a shooter (shootin' in 4k) i can get a nigga ass smoked for a bowl of noodles, whoa (i can get your ass smoked) i gave a forty clip, take to the woadie, the shooter, whoa i bought a carbon 15 and it's tall as a ruler i had the doctor come see, i thought it was voodoo, whoa i left that car parked outside of the boogaloos, whoa (skrrt) you don't go need for speed, yeah i just been movin' 'em (i keep the dope, boom, boom)  i been in trusletree and i just been boolin it, yeah (i been to trustle) i need to catch me some zs 'cause i just been booted up (i need to get me some sleep) i had your bitch on her knees and i told her toot it up (got your bitch on her knees) fish fork aye, i whip my wrist, i deep fry dope, on baby acrobatic door mulsanne i bought my baby florida water, pussy pink, i make her basin flawless diamonds, some are pink like a mercedes  i bought my bitch a bag i bought a lotta ass i bought my bitch a bag i bought a lotta ass my c no longer slashed r.i.p. to nipsey, yeah i tripled up the stash i had to tint the jag' she said she don't suck dick i called that bitch a cab new york can't go for no bad apple i promise you'll get stabbed i told her i go nast' i give 'em lifetime splash i told her i got crops that big, big birkin bag  what you finna get? hundred on my wrist hundred on the necklace, hundred on the clip hundred on his head, i just splat a flip hundred on my bitch, couple of crips i can never rat, i can stack the chips i will never fuck her, i just got the lip i just gotta love it, i just gotta kill it i just gave her chrome, i just got a vip hoppin' out a jet, i can get her wet louboutin chest, under my neck i came with the drugs, hi-tech the vvs on my neck, as big as it gets i came from nothin', too fuckin' reckless i'm a slime ball, baby, i'm treacherous iced out hermes belt like a wrestler fuck her good, but i never kept her (yeah)  i bought my bitch a bag i bought a lotta ass i bought my bitch a bag i bought a lotta ass my c no longer slashed r.i.p. to nipsey, yeah i tripled up the stash i had to tint the jag' she said she don't suck dick i called that bitch a cab new york can't go for bad apple i promise you'll get stabbed i told her i go nast' i give 'em lifetime splash i told her i got crops that big, big burkin bag (that birk')  fish fork, aye, i whip my wrist, i deep fry dope, on baby acrobatic door mulsanne i bought my baby florida water, pussy pink, i make her basin flawless diamonds, some are pink like a mercedes",Hip-Hop
