,lyrics,genre
0,"if i should ever let you go i'll never want to know oh why  inside, a sudden loss of air confessions in despair oh, why oh, why  this love is whispering as distant sirens ring goodbye  and if i should ever get the chance to let you know listen to me now how, we loved you so the first time, the last time, a lifetime ago fallen, you were calling, you, it's time to go  if i should ever let you go i'll never want to know oh why.  if i should ever let you go i'll never want to know oh why  fallen, you were calling, you, it's time to go, fallen, you were calling, you, it's time to go",Electronic
1,"feeling the song, party done, shadows walking home walking with our game on you are my kind, classic mind and you look so fine, hmm  loving the cold, smoke a roll see your fingers shake i'm getting through your heart break some kinda freak, sing for me, don't know what i need, hmm  don't doubt me babe you make me wanna change break my bed, don't make me wanna stay, i can't bite me babe, you make me love the pain break my bed, don't make me wanna stay, i can't  when you say it like that oh-oh, oh-oh got me falling right back oh-oh, oh-oh, hmm when you say it like that oh-oh, oh-oh let me fight you right back oh-oh, oh-oh  i'm getting the door, silent walk whose the first to speak? speak it like a real freak voice in my head, in my bed filled with you instead, hmm taking your time, work my mind and i play with you i play pretend it's so true follow me down, listen 'round to the deep dark sound, hmm  don't doubt me babe you make me wanna change break my bed, don't make me wanna stay, i can't bite me babe, you make me love the pain break my bed, don't make me wanna stay, i can't  when you say it like that oh-oh, oh-oh got me falling right back oh-oh, oh-oh when you say it like that oh-oh, oh-oh let me fight you right back oh-oh, oh-oh  when you say it like that oh-oh, oh-oh got me falling right back oh-oh, oh-oh when you say it like that oh-oh, oh-oh let me fight you right back oh-oh, oh-oh hmm",Electronic
2,"try talking to you while you do, while you do i swap places with you just to see things through just sing me the tune and you'll see i'll keep it here for you i'll wait for your cue  you wrote down all the words black and white on a wall just keepin' it so yeah you know how it goes no plans for a change, nothing strange no not today no way now sing me the tune  cash it in and throw it all away never needed any of it anyway  so you twist and you turn uncomfortable fool, you'll never learn but you can take a stand forget all about the plans california rose  side one track two on a record of you i've even stuck on a groove that i don't wanna lose just play it again, as a friend it's your favorite worn-in shoes now sing me the tune  cash it in and throw it all away, yeah never needed any of it anyway  so you crash, and you burn sometimes the road will twist and turn some of this, less of that forget all about the map california road  cash it in and throw it all away never needed any of it anyway  cash it in and throw it all away, yeah never needed any of it anyway  cash it in and throw it all away never needed any of it anyway  cash it in and throw it all away never needed any of it anyway",Electronic
3,i try to escape from the gutter of my mind  distorted thoughts turn my soul into ice  everything ahead seems to fade away  the shadow in the mirror shows me who's to blame  i can't carry your doubts as i won't show mine  not one single day which is passing by  can't count on no one when you're down and out  gonna lose my grip before i hit the ground  the world i see is driving me insane  there's an ugly face behind every smile  i got it on my own  that i can't deny  nothing to nothing  when it's all said and done  either you gonna break  or it makes you strong,Electronic
4,"hang on, darling and don't let go just hold tight, baby and feel me  we're slowly moving closer we feel the night calling  i could fly you away euphoria awaits i could fly you away euphoria awaits  hold on, darling and don't let go just hang tight, baby and feel me  we're slowly moving closer we feel the night calling  i could fly you away euphoria awaits i could fly you away euphoria awaits  ooh ooh  'cause tonight, darling we're all alone and tonight, baby is golden  i could fly you away euphoria awaits i could fly you away euphoria awaits",Electronic
5,"looking for a place to run waiting for the mess to fade hoping while the time get tough wishing for a better place  the skies might rain on me wide eyes, scared to be anywhere alone, anywhere alone losing energy trusting nobody  how do we get home from this place unknown? how do we get home from this place unknown? how do we get home from this place unknown?  the skies might rain on me wide eyes, scared to be anywhere alone, anywhere alone losing energy trusting nobody  how do we get home from this place unknown?  how do we get home from this place unknown?  fallin' from an open plane (fallin', fallin') down beneath the clouds again (down, down) tumbling from outer space (hoo, hoo) searching for a way back in  the light won't shine on me wide eyes, scared to be anywhere alone, anywhere alone it's time to lose your fears no time for your tears  we gotta get home from this place unknown we gotta get home from this place unknown  how do we get home from this place unknown? how do we get home from this place unknown? how do we get home from this place unknown?  how do we get home from this place unknown?  the skies might rain on me wide eyes, scared to be anywhere alone, anywhere alone losing energy trusting nobody  how do we get home from this place unknown?  how do we get home from this place unknown?",Electronic
6,"every night i take myself to where the skies are blue to where we swim when i met you  stay here i spent the best days of my life with you watching clouds form in the distance i watch the sunset on the beach with you it's not over yet  i want your love and i want it bad i just wanna treat you better i just wanna treat you better  i want your love and i want it bad i just wanna treat you better i just wanna treat you better  let's begin again let's get back to where we started when there was talk of getting older i've been waiting by the water let's start over  i know that the words don't change it i know that your heart keeps aching i just wanna treat you better i just wanna treat you better  even when the light can't find me i know that the sun keeps shining i just wanna treat you better i just wanna treat you better  oh, i just wanna treat you better i just wanna treat you better i just wanna treat you better i just wanna treat you better  i want your love and i want it bad i just wanna treat you better i just wanna treat you better  i just wanna treat you better i just wanna treat you better  i just wanna treat you better i just wanna treat you better  i just wanna treat you better i just wanna treat you better",Electronic
7,"gotham, gotham, gotham, gotham, gotham... gotham, gotham, gotham, gotham, gotham... gotham, gotham, gotham, gotham, gotham... oh, you think darkness is your ally. but you merely adopted the dark; i was born in it, moulded by it. i didn't see the light until i was already a man, by then it was nothing to me but blinding! the shadows betray you, because they belong to me!",Electronic
8,some days we slip into our dream where we are free to be all that we can be  feel the moment so alive dive into your eyes where you can't hide  you're so close to me you're so close to me you're so close to me so close  you're so close to me you're so close to me you're so close to me you're so close  you're so close  some days we slip into our dream where we are free to be all that we can be  feel the moment so alive dive into your eyes where you can't hide  you're so close to me you're so close to me you're so close to me so close  you're so close to me you're so close to me you're so close to me you're so close  you're so close to me  you're so close,Electronic
9,"in the arms of heaven, in the arms of heaven in the arms of heaven, you and me we will be one  in the arms of heaven, in the arms of heaven in the arms of heaven, you and me we will be one in the arms of heaven, in the arms of heaven in the arms of heaven, you and me we will be one in the arms of heaven, in the arms of heaven in the arms of heaven, you and me we will be one  in the arms of heaven, in the arms of heaven in the arms of heaven, you and me we will be one in the arms of heaven, in the arms of heaven in the arms of heaven, you and me we will be one  in the arms of heaven, in the arms of heaven in the arms of heaven, you and me we will be one",Electronic
10,"when i first discoverd house music ehh, let's see okay, let me try to think real quick uuh i think i was at a houseparty probaly and checking out some babs and seeing oh man what's that and they where saying this is some of that warehouse fab and uum i went down there to check it out and i was like yeah, this is cool but the main thing that i grasp from just being there was the unification and the party how everybody you know seem like they was on one accord you know everybode was there you know like one unit you know and all embracing eachother in the music you know music boxing so many other clubs and even over here in england where this was the (?) rip party's, confusion party's so it goes back a long, long way this whole house thing you know and me, and being there evolved into the feeling uum and my first experience so thats where we getting",Electronic
11,"i was an arrogant son and you were barely holding onto me so we, lost everything that we had  one, more night just call my name and i could meet you there just call my name and tell me i made you proud  i have become who i hope that you were but i'd tear out my two eyes for one chance to bring you back here it's not that far to the hospital just say you'll take me, and i'll be happy  i have become who i hope that you were but i'd tear out my two eyes for one chance to bring you back here it's not that far to the hospital just say you'll take me, and i'll be happy  the hospital  is this time or an afternoon sun when life is marked by years that run from me so please, just tell me where i went wrong?  one more night spent in this room and coping with regret just call my name and tell me i make you proud  i have become who i hope that you were but i'd tear out my two eyes for one chance to bring you back here it's not that far to the hospital just say you'll take me, and i'll be happy  i have become who i hope that you were but i'd tear out my two eyes for one chance to bring you back here it's not that far to the hospital just say you'll take me, and i'll be happy and i'll be happy",Electronic
12,the line that i draw between my life and your thoughts 'n' dreams but why why it's so heavy to wave my hand  my past is in black and brown keeps lies and the chance you blown but why why it's so heavy to wave my hand  the rain made of your photographs i am under rain made of your photographs and i've got myself locked in your photographs liberating soul  let's face faces pale 'n' gone i see neither friend nor foe but why why it's so heavy to wave my hand  i throw pictures i have torn i hope there is no u-turn but why why it's so heavy to wave my hand  the rain made of your photographs i am under rain made of your photographs and i've got myself locked in your photographs liberating soul,Electronic
13,"magic people, voodoo people!  the voodoo, who do what you don't dare do, people  the voodoo!  the voodoo, who do what you don't dare do, people the voodoo, who do what you don't dare do, people  the voodoo!  the voodoo, who do what you don't dare do, people the voodoo, who do what you don't dare do, people  magic people, magic people voodoo people, magic people magic people, magic people voodoo people, magic people magic people, magic people voodoo people, magic people magic people, magic people voodoo people voodoo!",Electronic
14,"if you come close and hold me tight you feel the heart that beats for you and if you dear could read my mind oh you would know my love is true words can't say how much i love you words can't say how much i care i need you and i need your love like i need to breathe the air words can't say how much i love you words can't say how much i care i need you and i need your love like i need to breathe the air pump it up, pum-pump it up! and don't stop words can't say how much i love you words can't say how much i care i need you and i need your love like i need to breathe the air come follow me, come follow me, come follow me! faith and trust give both a try so you will see that is the key i swear true love will never die so please believe in you and me words can't say how much i love you words can't say how much i care i need you and i need your love like i need to breathe the air words can't say how much i love you words can't say how much i care i need you and i need your love like i need to breathe the air come follow me, follow me, follow me, follow me, follow me, follow me, follow me, follow me, follow me, foll, foll, foll, foll, foll, follow me now! words can't say how much i love you words can't say how much i care i need you and i need your love like i need to breathe the air words can't say how much i love you words can't say how much i care i need you and i need your love like i need to breathe the air",Electronic
15,"run away, run away run away and save your life run away, run away run away if you want to survive  run away, run away run away and save your life run away, run away run away if you want to survive  money, sex in full control, a generation without soul perfect people in a perfect world behind closed doors all in control life, in a world of luxury cold cash money mentality you gotta keep the faith, you gotta keep the faith you'd better keep the faith and run away  run away, run away run away and save your life run away, run away run away if you want to survive  it's time to break free, oh oh oh oh run away, oh oh oh oh you better break free, oh oh oh oh run away, oh oh oh oh  money, sex in full control, look, big brother is watching you unlock your brain and save your soul no more limits, no more curfew life in the perfect system take a stand and fight for freedom keep the faith, you gotta keep the faith you'd better keep the faith and run away  run away, run away run away and save your life run away, run away run away if you want to survive  run away, run away run away and save your life run away, run away run away if you want to survive  run away, run away run away and save your life run away, run away run away if you want to survive  run away, run away run away and save your life run away, run away run away if you want to survive  it's time to break free, oh oh oh oh run away, oh oh oh oh you better break free, oh oh oh oh run away, oh oh oh oh  keep the faith, you gotta keep the faith you'd better keep the faith and run away  keep the faith, you gotta keep the faith you'd better keep the faith and run away",Electronic
16,"get down everybody, get down get down everybody, all of us get down everybody, feel the music, everybody take this get down everybody, get down get down everybody, all of us get down everybody, feel the music, everybody take this get down everybody, get down get down everybody, all of us get down everybody, feel the music, everybody take this get down everybody, get down get down everybody, all of us get down everybody, feel the music, everybody take this get down get down get down all of us get down feel the music, everybody take this get down get down get down all of us get down feel the music, everybody take this  c-c-come on  come on  c-c-come on  c-c-c-come on get down get down get down all of us get down feel the music, everybody take this get down get down get down all of us get down feel the music, everybody take this  get down everybody, get down get down everybody, all of us get down everybody, feel the music, everybody take this get down everybody, get down get down everybody, all of us get down everybody, feel the music, everybody take this get down everybody, get down get down everybody, all of us get down everybody, feel the music, everybody take this get down everybody, get down get down everybody, all of us get down everybody, feel the music, everybody take this get down everybody, get down get down everybody, all of us get down everybody, feel the music, everybody take this get down everybody, get down get down everybody, all of us get down everybody, feel the music, everybody take this get down get down get down all of us get down feel the music, everybody take this get down get down get down all of us get down feel the music, everybody take this  c-c-come on  come on  c-c-come on  c-c-c-come on  c-c-come on  come on  c-c-come on  feel the music, everybody take this (c-c-c-come on)",Electronic
17,i know our love's forbidden i know our love can't be but i cannot help feeling you're the only one for me we're like a true love story romeo and juliet our two worlds cannot be as one and it hasn't stopped us yet when at la-a-a-a-a-a-ast i'm with you our embra-a-a-a-a-a-a-ace will shake the room finally-y-y-y-y-y-y-y we'll be as one like the sou-u-u-u-u-u-u-ulmates we've become when at la-a-a-a-a-a-ast i'm with you our embra-a-a-a-a-a-a-ace will shake the room finally-y-y-y-y-y-y-y we'll be as one like the sou-u-u-u-u-u-u-ulmates we've become i know we may never get to meet but i cannot lose hope that the impossible can be-be-be so while i'm stuck here waiting for the day i want to see i'll keep on dreaming to myself and as i do i sing when at la-a-a-a-a-a-ast i'm with yo-o-o-o-o-o-o-o-o-o-o-o-ou finally-y-y-y-y-y-y-y we'll be as one like the sou-u-u-u-u-u-u-ulmates we've become,Electronic
18,"mr. music he's down in the lab all day  making the bass lines  that the crowd wanna hear him play  they're gonna lose it  'cause he made a new bomb today  the brand new skanka  that make all the frequencies sway  and when it drop, gonna level out this place  done ripped a hole through time and outer space  sending shockwaves everybody's forced to brace  'cause they've been hit with that nuclear bass face  ♪  mr. music he's down in the lab all day  making the bass lines  that the crowd wanna hear him play  they're gonna lose it  'cause he made a new bomb today  the brand new skanka  that make all the frequencies sway  and when it drop, gonna level out this place  done ripped a hole through time and outer space  sending shockwaves everybody's forced to brace  'cause they've been hit with that nuclear bass face  ♪  bass face",Electronic
19,"(woo, woo, woo, yeah!)  ♪  bitch, i'm drippy (ooh)  aye, mommy, get with me (get with me)  see the cash (ooh)  spend it like i print it (goddamn, goddamn)  on they ass (hah)  blow it, no limit (cha-ching)  hah, it's mine, i spend it  bitch, i'm drippy (ooh)  aye, mommy, get with me (get with me)  see the cash (ooh)  spend it like i print it (goddamn, goddamn)  on they ass (hah)  blow it, no limit (cha-ching)  hah, it's mine, i spend it  no limit, no limit (yeah, yeah)  no limit, blow it like i print it (goddamn)  no limit  (blow it like i print it)  ♪  (yellow motherfucking claw)  ♪  no limit, no limit (yeah, yeah)  no limit, blow it like i print it (goddamn)  no limit, no limit (what's up?)  no limit (blow it like i print it)  bitch, i'm drippy (ooh)  aye, mommy, get with me (get with me)  see the cash (ooh)  spend it like i print it (goddamn, goddamn)  on they ass (hah)  blow it, no limit (cha-ching)  hah, it's mine, i spend it  no limit, no limit (yeah, yeah)  no limit, blow it like i print it (goddamn)  no limit  (blow it like i print it)  ♪  (blow it like i print it)  ♪  (y-y-y-yellow claw, is back on their bullshit)  (dirty audio and bok nero on this one)  (n-n-no limit, i blow like i print it)",Electronic
20,"regret has gone down in my estimation now. the old world had you smiling out, putting your arms around. i tell myself now things i would have told to you, the smallest plan, the greatest news. the more days come, the more it's true.  right now i've got to get back home, in from the sad day out. missing you forever, yes, i shout, yes i, yes i, yes i am.  it seems the right time to let go of the steep incline of this day and to know you're mine forever and i will be fine. in me will you shine, shine, shine, will you shine.  i'm stepping through the streams and fountains of the sad day out. missing you forever, yes, i shout, yes i, yes i, yes i am. yes i, yes i, yes i am.",Electronic
21,"under my skin  i am traveling  under my skin  in the woods and forest deep over seas and oceans baby blue are you  in the sand of desert's heart in the streams of river's crystal clear you're here  around the world, i am traveling i am traveling, under your skin  around the world, i am traveling i am traveling, under your skin  around the world, i am traveling i am traveling, under your skin  under my skin  in the snow and icy whites in the wind of islands in the sun we run  in the clouds and starry sky over hills and mountains sharp and high we fly  around the world, i am traveling i am traveling, under your skin  i am traveling  under my skin  i am traveling (traveling)",Electronic
22,get down get down...  the higher we go up the more we get down the higher we go up the more we get down  the higher we go up the higher we go the higher we go up  the higher we go up  the higher we go  the more we get down  the higher we go  the more we get down  get down get down get down get down get down get down get down get down  the higher we go up the more we get down the higher we go up the more we get down the higher we go up the more we get down the higher we go up the more we get down  the higher we go up the higher we go the higher we go up the higher we go the higher we go up  the higher we go up  the higher we go  the more we get down  the higher we go  the more we get down,Electronic
